tag	old_tag_object	old_commit	new_commit
v0.1.0	df59606ca1ea1dd45c34f9834a714942cb1e503e	4bfc162f29260e15bc7f2d9396463a07a7e95e7d	bebc422420333221149f53139ba5541062685903
v0.2.0	4e9396ae22305b8fb0a42e81c0e10ded58f14038	ae5e70391e855bbe7b3b43e6d9b2ae02530ef63b	23ac0c1f1fe14f65f99e3cc431fd8e821012d146
v0.3.0	71ae75c718e66769ae3a119d0d17e273d5f0ebd2	cbd66de321390c77e1ff682c44aefe66e2c503d3	c9ff833eff63620b8db4c1685078e5e30e590000
v0.4.0	a576d266568d5f8466eb7129da84509490e18596	495137594b45ac0d603c15e9fef85defa5bf681c	101b66a1837c1b8e8ea3c2b3d1bf3eb97a347c03
v0.4.1	(lightweight)	5b0937c8250e6185f7a57c2ae164c1deb3029d38	360c22dcdc36817f8cf784c0687e735778dcca05
v0.4.2	b2e9bc2bee8b6c1efe4b259564ba77222b0395fe	22d1cdc1b76e4c95970c9bfae4751e51fc830215	b562f62d8ea2c42750e0ab6aad33e83287923a3e
